#thit	thr	eventID	hit#	channel	edge	error	coarse	fine	time
249	-44	540	3	0	1	0	922	26	23070.312500ns
250	-44	541	0	0	1	0	449	14	11235.937500ns
251	-44	546	0	0	1	0	416	26	10420.312500ns
252	-44	546	1	0	1	0	511	27	12796.093750ns
253	-44	546	2	0	1	0	514	30	12873.437500ns
254	-44	547	0	0	1	0	200	31	5024.218750ns
255	-44	547	1	0	1	0	213	12	5334.375000ns
256	-44	547	2	0	1	0	296	29	7422.656250ns
257	-44	547	3	0	1	0	299	30	7498.437500ns
258	-44	547	4	0	1	0	921	29	23047.656250ns
259	-44	547	5	0	1	0	928	16	23212.500000ns
260	-44	548	0	0	1	0	485	29	12147.656250ns
261	-44	548	1	0	1	0	492	8	12306.250000ns
262	-44	548	2	0	1	0	580	9	14507.031250ns
263	-44	550	0	0	1	0	286	10	7157.812500ns
264	-44	550	1	0	1	0	381	21	9541.406250ns
265	-44	550	2	0	1	0	385	1	9625.781250ns
266	-44	550	3	0	1	0	796	21	19916.406250ns
267	-44	550	4	0	1	0	803	8	20081.250000ns
268	-44	550	5	0	1	0	891	30	22298.437500ns
269	-40	551	0	0	1	0	465	19	11639.843750ns
270	-40	551	1	0	1	0	472	4	11803.125000ns
271	-40	551	2	0	1	0	560	26	14020.312500ns
272	-40	553	0	0	1	0	418	14	10460.937500ns
273	-40	553	1	0	1	0	424	31	10624.218750ns
274	-40	553	2	0	1	0	513	4	12828.125000ns
275	-40	554	0	0	1	0	465	27	11646.093750ns
276	-40	554	1	0	1	0	472	16	11812.500000ns
277	-40	554	2	0	1	0	475	27	11896.093750ns
278	-40	554	3	0	1	0	478	15	11961.718750ns
279	-40	554	4	0	1	0	560	27	14021.093750ns
280	-40	555	0	0	1	0	432	10	10807.812500ns
281	-40	555	1	0	1	0	435	21	10891.406250ns
282	-40	555	2	0	1	0	442	0	11050.000000ns
283	-40	555	3	0	1	0	524	8	13106.250000ns
284	-40	555	4	0	1	0	527	16	13187.500000ns
285	-40	556	0	0	1	0	508	20	12715.625000ns
286	-40	556	1	0	1	0	511	11	12783.593750ns
287	-40	556	2	0	1	0	521	4	13028.125000ns
288	-40	556	3	0	1	0	603	26	15095.312500ns
289	-40	556	4	0	1	0	607	0	15175.000000ns
290	-40	557	0	0	1	0	501	10	12532.812500ns
291	-40	557	1	0	1	0	514	0	12850.000000ns
292	-40	557	2	0	1	0	596	30	14923.437500ns
293	-40	557	3	0	1	0	600	6	15004.687500ns
294	-40	558	0	0	1	0	186	0	4650.000000ns
295	-40	558	1	0	1	0	195	19	4889.843750ns
296	-40	558	2	0	1	0	198	8	4956.250000ns
297	-40	558	3	0	1	0	277	5	6928.906250ns
298	-40	558	4	0	1	0	284	4	7103.125000ns
299	-40	558	5	0	1	0	287	10	7182.812500ns
300	-40	558	6	0	1	0	854	22	21367.187500ns
301	-40	558	7	0	1	0	861	10	21532.812500ns
302	-40	558	8	0	1	0	864	27	21621.093750ns
303	-40	558	9	0	1	0	949	23	23742.968750ns
304	-40	558	10	0	1	0	956	9	23907.031250ns
305	-40	559	0	0	1	0	413	27	10346.093750ns
306	-40	559	1	0	1	0	420	11	10508.593750ns
307	-40	559	2	0	1	0	509	11	12733.593750ns
308	-40	562	0	0	1	0	414	21	10366.406250ns
309	-40	562	1	0	1	0	421	13	10535.156250ns
310	-40	562	2	0	1	0	507	10	12682.812500ns
311	-40	562	3	0	1	0	510	4	12753.125000ns
312	-40	562	4	0	1	0	516	28	12921.875000ns
313	-40	565	0	0	1	0	431	18	10789.062500ns
314	-40	565	1	0	1	0	434	29	10872.656250ns
315	-40	565	2	0	1	0	437	17	10938.281250ns
316	-40	565	3	0	1	0	444	2	11101.562500ns
317	-40	565	4	0	1	0	447	6	11179.687500ns
318	-40	565	5	0	1	0	527	1	13175.781250ns
319	-40	565	6	0	1	0	530	5	13253.906250ns
320	-40	567	0	0	1	0	14	12	359.375000ns
321	-40	567	1	0	1	0	21	5	528.906250ns
322	-40	567	2	0	1	0	24	13	610.156250ns
323	-40	567	3	0	1	0	109	29	2747.656250ns
324	-40	567	4	0	1	0	116	26	2920.312500ns
325	-40	567	5	0	1	0	120	8	3006.250000ns
326	-40	569	0	0	1	0	467	11	11683.593750ns
327	-40	569	1	0	1	0	553	15	13836.718750ns
328	-40	569	2	0	1	0	556	16	13912.500000ns
329	-40	569	3	0	1	0	559	29	13997.656250ns
330	-40	569	4	0	1	0	562	31	14074.218750ns
331	-40	570	0	0	1	0	498	13	12460.156250ns
332	-40	570	1	0	1	0	505	4	12628.125000ns
333	-40	570	2	0	1	0	508	25	12719.531250ns
334	-40	570	3	0	1	0	593	20	14840.625000ns
335	-40	570	4	0	1	0	597	0	14925.000000ns
336	-40	570	5	0	1	0	603	11	15083.593750ns
337	-40	571	0	0	1	0	436	4	10903.125000ns
338	-40	571	1	0	1	0	439	2	10976.562500ns
339	-40	571	2	0	1	0	448	30	11223.437500ns
